root_id,n_tweets,n_inbound,n_outbound
21485,8,3,5
21493,2,1,1
21510,2,1,1
21586,53,25,28
21592,2,1,1
21605,3,2,1
21618,2,1,1
21620,2,1,1
21627,2,1,1
21640,16,10,6
21646,2,1,1
21685,11,8,3
21749,2,1,1
21760,2,1,1
21768,2,1,1
21789,4,2,2
21795,6,5,1
21815,2,1,1
21848,2,1,1
21851,3,2,1
21861,6,3,3
21917,4,2,2
21984,2,1,1
22012,2,1,1
22054,6,3,3
22083,6,4,2
22088,2,1,1
22125,2,1,1
22129,2,1,1
22152,12,7,5
22166,4,3,1
22186,4,2,2
22191,2,1,1
22367,4,2,2
22420,3,2,1
22433,2,1,1
22466,10,6,4
22478,2,1,1
22538,4,2,2
22552,2,1,1
22603,8,5,3
22624,2,1,1
22652,2,1,1
22694,8,4,4
22712,5,2,3
22883,3,2,1
22898,2,1,1
22900,2,1,1
22920,7,4,3
23010,6,3,3
23045,3,2,1
23111,12,7,5
23122,2,1,1
23130,2,1,1
23230,2,1,1
23250,4,2,2
23256,2,1,1
23267,26,15,11
23304,2,1,1
23360,6,5,1
23377,2,1,1
23609,13,6,7
23611,2,1,1
23622,2,1,1
23706,5,3,2
23945,2,1,1
23956,3,2,1
23969,3,1,2
23976,7,4,3
24027,6,4,2
24035,4,2,2
24041,3,1,2
24044,2,1,1
24056,5,2,3
24074,2,1,1
24091,5,3,2
24099,6,3,3
24106,4,2,2
24110,7,4,3
24134,2,1,1
24156,2,1,1
24186,2,1,1
24209,6,2,4
24227,3,1,2
24256,12,6,6
24258,2,1,1
24267,5,3,2
24300,6,4,2
24311,4,3,1
24381,6,3,3
24426,2,1,1
24445,2,1,1
24449,5,2,3
24464,12,6,6
24470,2,1,1
24524,3,1,2
24626,3,1,2
24699,2,1,1
24711,3,1,2
24740,2,1,1
24772,3,1,2
24897,4,2,2
24910,4,2,2
24918,2,1,1
24925,3,2,1
24974,2,1,1
25004,4,2,2
25008,5,2,3
25036,14,9,5
25069,4,2,2
25122,6,4,2
25137,2,1,1
25143,3,2,1
25147,5,3,2
25170,2,1,1
25219,6,3,3
25362,2,1,1
25365,3,2,1
25369,2,1,1
25393,2,1,1
25434,3,2,1
25438,4,2,2
25445,4,2,2
25464,7,5,2
25548,6,3,3
25552,4,2,2
25557,2,1,1
25576,6,4,2
25641,3,2,1
25655,2,1,1
25660,5,3,2
25664,4,2,2
25700,2,1,1
25704,2,1,1
25707,2,1,1
25714,2,1,1
25729,4,3,1
25752,4,2,2
25777,2,1,1
25789,2,1,1
25804,5,3,2
25816,2,1,1
25845,2,1,1
25863,16,7,9
25866,3,1,2
25878,3,1,2
25956,3,2,1
26005,2,1,1
26044,3,2,1
26056,2,1,1
26083,3,2,1
26155,3,2,1
26158,4,2,2
26232,4,2,2
26326,6,3,3
26418,4,2,2
26438,4,2,2
26477,6,3,3
26485,2,1,1
26573,2,1,1
26575,2,1,1
26580,2,1,1
26613,2,1,1
26647,2,1,1
26693,2,1,1
26720,2,1,1
26745,2,1,1
26747,3,1,2
26778,2,1,1
26860,2,1,1
26934,13,9,4
26946,14,8,6
27018,2,1,1
27044,3,2,1
27136,3,2,1
27163,6,3,3
27170,2,1,1
27232,2,1,1
27243,2,1,1
27427,3,2,1
27430,9,8,1
27440,2,1,1
27545,4,3,1
27556,3,2,1
27633,12,6,6
27647,4,2,2
27692,2,1,1
27775,6,3,3
27786,2,1,1
27838,3,2,1
27924,3,2,1
27930,2,1,1
27944,4,2,2
27949,3,1,2
28096,2,1,1
28140,4,2,2
28146,5,2,3
28173,7,4,3
28197,2,1,1
28223,2,1,1
28264,7,3,4
28295,6,2,4
28306,2,1,1
28310,2,1,1
28316,3,1,2
28332,2,1,1
28335,6,3,3
28359,23,14,9
28383,2,1,1
28440,5,3,2
28460,2,1,1
28530,2,1,1
28539,6,4,2
28573,4,2,2
28576,2,1,1
28603,7,4,3
28630,5,2,3
28655,4,2,2
28658,2,1,1
28671,2,1,1
28996,10,3,7
29024,2,1,1
29034,2,1,1
29064,4,2,2
29072,6,4,2
29081,7,4,3
29128,13,10,3
29141,24,11,13
29161,4,2,2
29247,4,1,3
29391,7,4,3
29403,12,7,5
29426,4,2,2
29478,3,2,1
29516,11,6,5
29573,5,2,3
29582,4,2,2
29646,2,1,1
29662,8,4,4
29675,3,1,2
29702,4,2,2
29723,6,3,3
29796,5,2,3
29807,3,2,1
29811,10,6,4
29848,4,2,2
29891,3,2,1
29986,3,1,2
30036,6,4,2
30061,7,4,3
30064,4,2,2
30090,4,3,1
30366,2,1,1
30378,9,5,4
30415,2,1,1
30424,9,8,1
30437,2,1,1
30466,2,1,1
30478,5,3,2
30544,33,20,13
30559,2,1,1
30562,7,3,4
30601,38,21,17
30664,3,2,1
30666,2,1,1
30684,4,2,2
30722,7,4,3
30726,3,2,1
30742,2,1,1
30759,3,2,1
